NE_______-3H01,2019-10-01 00:00:00,5
NE_______-3H02,2019-10-01 00:00:00,0
NEAB1____-3H02,2019-10-01 00:00:00,15
NEAB1____-3H01,2019-10-01 00:00:00,12
NESK1____-3H03,2019-10-01 00:00:00,302.83
NE_______-3H01,2019-10-02 00:00:00,3
NE_______-3H02,2019-10-02 00:00:00,0
NEAB1____-3H02,2019-10-02 00:00:00,13
NEAB1____-3H01,2019-10-02 00:00:00,9
NESK1____-3H03,2019-10-02 00:00:00,302.86
NESK1____-3H02,2019-10-02 00:00:00,15.4
NEAB1APD_-3F02,2019-10-02 00:00:00,1.8
NEAB1APD_-3F03,2019-10-02 00:00:00,6
NEAB1APD_-3F04,2019-10-02 00:00:00,3
NEAB1APD_-3F05,2019-10-02 00:00:00,0
NEAB1APD_-3F01,2019-10-02 00:00:00,1.2
NEAB1APD_-3F06,2019-10-02 00:00:00,
NEAB1____-3H04,2019-10-02 00:00:00,2.61
NEAB1____-3H05,2019-10-02 00:00:00,2.61
NEAB1____-3H06,2019-10-02 00:00:00,3.08
NEAB1____-3H07,2019-10-02 00:00:00,6.08
NEAB1____-3H08,2019-10-02 00:00:00,8.39
NEAB1____-3H09,2019-10-02 00:00:00,3.18
NEAB1____-3H10,2019-10-02 00:00:00,2.17
NEAB1____-3H11,2019-10-02 00:00:00,0.9729
NEAB1DS__-3P18,2019-10-02 00:00:00,1.4245
NEAB1DS__-3P01,2019-10-02 00:00:00,1.063
NEAB1DS__-3P20,2019-10-02 00:00:00,1.847
NEAB1DS__-3P27,2019-10-02 00:00:00,1.7302
NEAB1DS__-3P22,2019-10-02 00:00:00,0.818
NEAB1DS__-3P08,2019-10-02 00:00:00,1.115
NEAB1DS__-3P10,2019-10-02 00:00:00,1.336
NEAB1DS__-3P14,2019-10-02 00:00:00,1.6985
NEAB1DS__-3P24,2019-10-02 00:00:00,1.0893
NEAB1DS__-3P19,2019-10-02 00:00:00,0.9701
NEAB1DS__-3P02,2019-10-02 00:00:00,-0.008
NEAB1DS__-3P21,2019-10-02 00:00:00,-0.185
NEAB1DS__-3P05,2019-10-02 00:00:00,-0.015
NEAB1DS__-3P23,2019-10-02 00:00:00,-0.211
NEAB1DS__-3P09,2019-10-02 00:00:00,-0.002
NEAB1DS__-3P11,2019-10-02 00:00:00,-0.07
NEAB1DS__-3P15,2019-10-02 00:00:00,0.9826
NEAB1DS__-3P25,2019-10-02 00:00:00,0.9844
NEAB1DS__-3P17,2019-10-02 00:00:00,32.72
NEAB1DS__-3P26,2019-10-02 00:00:00,26.88
NEAB1DS__-3P03,2019-10-02 00:00:00,7.63
NEAB1DS__-3P06,2019-10-02 00:00:00,7.6
NEAB1DS__-3P07,2019-10-02 00:00:00,5.02
NEAB1DS__-3P12,2019-10-02 00:00:00,5.66
NEAB1DS__-3P13,2019-10-02 00:00:00,4.19
NEAB1DS__-3P16,2019-10-02 00:00:00,4.86
NE_______-3H01,2019-10-03 00:00:00,5
NE_______-3H02,2019-10-03 00:00:00,0
NEAB1____-3H02,2019-10-03 00:00:00,13
NEAB1____-3H01,2019-10-03 00:00:00,8
NESK1____-3H03,2019-10-03 00:00:00,302.86
NEAB1DS__-3P11,2019-02-13 00:00:00,0.09985
NEAB1DS__-3P19,2019-02-06 00:00:00,0.9864
NEAB1APD_-3F07,2019-10-02 00:00:00,0.97
NEPNA____-3F01,2019-10-04 11:00:00,0
NE_______-3H02,2019-10-04 11:00:00,0
NEAB1____-3H02,2019-10-04 11:00:00,12
NEAB1____-3H01,2019-10-04 11:00:00,8
NESK1____-3H03,2019-10-04 11:00:00,302.86
NEPNA____-3F01,2019-10-05 11:00:00,0
NE_______-3H02,2019-10-05 11:00:00,0
NEAB1____-3H02,2019-10-05 11:00:00,12
NEAB1____-3H01,2019-10-05 11:00:00,8
NESK1____-3H03,2019-10-05 11:00:00,302.87
NEPNA____-3F01,2019-10-06 11:00:00,0
NE_______-3H02,2019-10-06 11:00:00,0
NEAB1____-3H02,2019-10-06 11:00:00,12
NEAB1____-3H01,2019-10-06 11:00:00,7
NESK1____-3H03,2019-10-06 11:00:00,302.87
NEPNA____-3F01,2019-10-07 11:00:00,9360
NE_______-3H02,2019-10-07 11:00:00,0
NEAB1____-3H02,2019-10-07 11:00:00,12
NEAB1____-3H01,2019-10-07 11:00:00,7
NESK1____-3H03,2019-10-07 11:00:00,302.88
NEPNA____-3F01,2019-10-08 11:00:00,34560
NE_______-3H02,2019-10-08 11:00:00,0
NEAB1____-3H02,2019-10-08 11:00:00,13
NEAB1____-3H01,2019-10-08 11:00:00,7
NESK1____-3H03,2019-10-08 11:00:00,302.88
NEAB1____-3H05,2019-12-04 00:00:00,2.1
NEAB1DS__-3P05,2019-08-07 00:00:00,-0.0072
NEAB1DS__-3P19,2019-08-07 00:00:00,0.9709
NEAB1DS__-3P19,2019-02-13 00:00:00,
NEAB1DS__-3P18,2019-11-13 00:00:00,1.465
NEAB1DS__-3P01,2019-04-03 00:00:00,1.198
NEAB1DS__-3P01,2019-03-27 00:00:00,1.199
NEAB1DS__-3H01,2019-04-10 00:00:00,
NE_______-3H01,2020-06-28 00:00:00,5
NE_______-3H02,2020-06-28 00:00:00,0
NEAB1____-3H02,2020-06-28 00:00:00,20
NEAB1____-3H01,2020-06-28 00:00:00,15
NESK1____-3H03,2020-06-28 00:00:00,303.32
NE_______-3H01,2020-06-29 00:00:00,5
NE_______-3H02,2020-06-29 00:00:00,1
NEAB1____-3H02,2020-06-29 00:00:00,20
NEAB1____-3H01,2020-06-29 00:00:00,14
NESK1____-3H03,2020-06-29 00:00:00,303.3
NE_______-3H01,2020-06-30 00:00:00,4
NEAB1____-3H02,2020-06-30 00:00:00,23
NEAB1____-3H01,2020-06-30 00:00:00,14
NESK1____-3H03,2020-06-30 00:00:00,303.3
