LI,GW7 Grundwasser Handeingabe,LIAB1____-3H26,m,HAND,,
LI,GW8 Grundwasser Handeingabe,LIAB1____-3H27,m,HAND,,
LI,K4SW Kronenbohrung Handeingabe,LIAB1____-3H28,m,HAND,,
LI,F4SA Fußbohrung Achse Handeingabe,LIAB1____-3H29,m,HAND,,
LI,K1SW Kronenbohrung Handeingabe,LIAB1____-3H30,m,HAND,,
LI,F1SA Fußbohrung Achse Handeingabe,LIAB1____-3H31,m,HAND,,
LI,F1SL Fußbohrung Luft Handeingabe,LIAB1____-3H32,m,HAND,,
LI,K2SW Kronenbohrung Handeingabe,LIAB1____-3H33,m,HAND,,
WU,Gewitter,WU_______-3H02,-,HAND,,
WU,Wetterlage,WU_______-3H01,-,HAND,,
WU,GW4.1 Grundwasserpegel,WUAB1____-3H01,m,HAND,6.01,7.6
LI,F2SA Fußbohrung Achse Handeingabe,LIAB1____-3H34,m,HAND,,
LI,K1MW Kronenbohrung Handeingabe,LIAB1____-3H35,m,HAND,,
DH,GW3 Grundwasser Hand,DHAB1____-3H05,m,HAND,9.05,10.37
DH,S-H 1 Sickerwassereinzelmessung,DHAB1AD__-3H05,l/min,HAND,0,0.32
LI,K2MW Kronenbohrung Handeingabe,LIAB1____-3H36,m,HAND,,
LI,K3SW Kronenbohrung Handeingabe,LIAB1____-3H37,m,HAND,,
LI,K3MW Kronenbohrung Handeingabe,LIAB1____-3H38,m,HAND,,
LI,K4MW Kronenbohrung Handeingabe,LIAB1____-3H39,m,HAND,,
LI,K5SW Kronenbohrung Handeingabe,LIAB1____-3H40,m,HAND,,
LI,K5MW Kronenbohrung Handeingabe,LIAB1____-3H41,m,HAND,,
LI,Niederschlag Lingese/Brucher,LIAB1____-3H42,mm,HAND,,
BB,SW5 Piezometer PLS,BBAB1____-3P04,bar,AUTO_1H,1.05,1.18
LI,GW1 Grundwasser PLS,LIAB1____-3L01,Absolutdruck bar,AUTO,1.3,1.40883
LI,GW2 Grundwasser PLS,LIAB1____-3L02,Relativdruck bar,AUTO,0,0.198
LI,GW3 Grundwasser PLS,LIAB1____-3L03,Absolutdruck bar,AUTO,1.54,1.74376
RO,DU Drainage Untergrund Li PLS,ROAB1KO__-3F03,l/s,AUTO,0,0.25
WU,GW5 Grundwasserpegel,WUAB1____-3H02,m,HAND,6.06,7.7
WU,GW6 Grundwasserpegel,WUAB1____-3H03,m,HAND,8.33,9.78
WU,GW7 Grundwasserpegel,WUAB1____-3H04,m,HAND,8.42,9.85
BE,Gewitter,BE_______-3H02,-,HAND,,
BE,Niederschlag,BEAB1____-3H04,mm,HAND,,
ES,GW2 Grundwassermessstelle,ESAB1____-3H02,m,HAND,1.61,2.4
WU,GW8 Grundwasserpegel,WUAB1____-3H05,m,HAND,9.55,10.98
WU,GW9 Grundwasserpegel,WUAB1____-3H06,m,HAND,9.54,10.97
WU,GW3 Grundwasserpegel Hand,WUAB1____-3H07,m,HAND,14.13,18.4
WU,GW4 Grundwasserpegel Hand,WUAB1____-3H08,m,HAND,8.13,12.85
WU,Niederschlag Handmessung,WUAB1____-3H09,mm,HAND,,
WU,Lufttemperatur minimal,WUAB1____-3H10,°C,HAND,,
WU,Lufttemperatur maximal,WUAB1____-3H11,°C,HAND,,
WU,GW1 Grundwasserpegel Hand,WUAB1____-3H12,m,HAND,12.55,13.4
WU,GW2 Grundwasserpegel Hand,WUAB1____-3H13,m,HAND,7.87,12.1
KT,PL1-X Auto,KTAB1____-3D01,mm,AUTO,,
WU,SWD2A Sohlenwasserdruck Hand,WUAB1DS__-3H05,m,HAND,2.6,6.471
LI,K4SW Kronenbohrung PLS,LIAB1____-3L08,Relativdruck bar,AUTO,0.1365,0.22
BE,MQA1 Piezometer Wasserseite Schüttkörper,BEAB1DS__-3H05,m,HAND,8.16,13.4
DH,Stauhöhe Pegellatte Vorsperre Kleine Dhünn,DHSK3____-3H01,mNN,HAND,,
NE,Abflußpegel Tosbecken in cm,NEPNA____-3G01,cm,HAND,,
BE,Sickerwasser Summe,BEAB1ST__-3F07,,,,
LI,F1SL Fußbohrung Luft PLS,LIAB1____-3L12,Relativdruck bar,AUTO,1.33,1.4
DH,S-H 2 Sickerwassereinzelmessung,DHAB1AD__-3H06,l/min,HAND,0,2
LI,F1SA Fußbohrung Achse PLS,LIAB1____-3L11,Relativdruck bar,AUTO,1.33,1.39
LI,GW4 Grundwasser PLS,LIAB1____-3L04,Absolutdruck bar,AUTO,1.16,1.299
LI,GW5 Grundwasser PLS,LIAB1____-3L05,Relativdruck bar,AUTO,0.45,0.594
LI,GW6 Grundwasser PLS,LIAB1____-3L06,Absolutdruck bar,AUTO,1.4,1.6
LI,GW7 Grundwasser PLS,LIAB1____-3L07,Absolutdruck bar,AUTO,,
LI,F4SA Fußbohrung Achse PLS,LIAB1____-3L09,Absolutdruck bar,AUTO,0.001,1.05
LI,K1SW Kronenbohrung PLS,LIAB1____-3L10,Absolutdruck bar,AUTO,0.96,1.07
LI,K2SW Kronenbohrung PLS,LIAB1____-3L13,Relativdruck bar,AUTO,0.52695,0.9265
LI,K1MW Kronenbohrung PLS,LIAB1____-3L15,Relativdruck bar,AUTO,0,0.069
LI,K2MW Kronenbohrung PLS,LIAB1____-3L16,Relativdruck bar,AUTO,0.1,0.61712
HT,Stauhöhe Hand,HTSK1____-3H01,m,HAND,,
LI,K3MW Kronenbohrung PLS,LIAB1____-3L18,Relativdruck bar,AUTO,0,0.233
LI,K4MW Kronenbohrung PLS,LIAB1____-3L19,Relativdruck bar,AUTO,0.09416,0.134
LI,K5SW Kronenbohrung PLS,LIAB1____-3L20,Relativdruck bar,AUTO,0,0.1
LI,K5MW Kronenbohrung PLS,LIAB1____-3L21,Relativdruck bar,AUTO,0,0.133
LI,Pendellot -Abweichung X Richtung PL_X,LIAB1____-3L22,mm,AUTO,,
LI,Pendellot -Abweichung Y Richtung PL_Y,LIAB1____-3L23,mm,AUTO,,
LI,Schwimmlot -Abweichung X Richtung SL_X,LIAB1____-3L24,mm,AUTO,,
LI,Schwimmlot -Abweichung Y Richtung SL_Y,LIAB1____-3L25,mm,AUTO,,
LI,Öffnungsgrad Bypass DN 200,LIAB1BYPA-2OD1,%,HAND,,
LI,Durchfluss Bypass DN 200,LIAB1BYPA-3F01,m³/s,HAND,,
LI,SWD1W Sohlenwasserdruck Handeingabe,LIAB1DS__-3H01,mWS,HAND,,
LI,SWD1A Sohlenwasserdruck Handeingabe,LIAB1DS__-3H02,mWS,HAND,,
LI,SWD1L Sohlenwasserdruck Handeingabe,LIAB1DS__-3H03,mWS,HAND,,
LI,SWD2W Sohlenwasserdruck Handeingabe,LIAB1DS__-3H04,mWS,HAND,,
LI,SWD2A Sohlenwasserdruck Handeingabe,LIAB1DS__-3H05,mWS,HAND,,
LI,SWD2L Sohlenwasserdruck Handeingabe,LIAB1DS__-3H06,mWS,HAND,,
LI,SWD3W Sohlenwasserdruck Handeingabe,LIAB1DS__-3H07,mWS,HAND,,
LI,SWD3A Sohlenwasserdruck Handeingabe,LIAB1DS__-3H08,mWS,HAND,,
LI,SWD3L Sohlenwasserdruck Handeingabe,LIAB1DS__-3H09,mWS,HAND,,
LI,SWD1W Sohlenwasserdruck PLS,LIAB1DS__-3P01,Absolutdruck bar,AUTO,1.78,2.3
LI,SWD1A Sohlenwasserdruck PLS,LIAB1DS__-3P02,Absolutdruck bar,AUTO,1.29,1.6
LI,SWD1L Sohlenwasserdruck PLS,LIAB1DS__-3P03,Absolutdruck bar,AUTO,1.1,1.2
LI,SWD2W Sohlenwasserdruck PLS,LIAB1DS__-3P04,Absolutdruck bar,AUTO,1.49,1.748
LI,SWD2A Sohlenwasserdruck PLS,LIAB1DS__-3P05,Absolutdruck bar,AUTO,1.36,1.54656
LI,SWD2L Sohlenwasserdruck PLS,LIAB1DS__-3P06,Absolutdruck bar,AUTO,1.328,1.51284
LI,Durchfluss GA links gesamt inkl. WKA,LIAB1GAL_-3F01,m³/s,AUTO_15MIN,,
DH,Stauinhalt Vorsperre Große Dhünn,DHSK2____-3V01,unbekannt,AUTO,,
BE,Sickerwassermessstelle 1L,BEAB1ST__-3H07,l/s,HAND,,
BE,Sickerwassermessstelle 1R,BEAB1ST__-3H08,l/s,HAND,,
BE,Sickerwassermessstelle 2L,BEAB1ST__-3H09,l/s,HAND,,
BE,Sickerwassermessstelle 2R,BEAB1ST__-3H10,l/s,HAND,,
BE,Sickerwassermessstelle 3R,BEAB1ST__-3H11,l/s,HAND,,
BE,Sickerwassermessstelle 4L,BEAB1ST__-3H12,l/s,HAND,,
BE,Sickerwassermessstelle 4R,BEAB1ST__-3H13,l/s,HAND,,
BE,Sickerwassermessstelle 5L,BEAB1ST__-3H14,l/s,HAND,,
BE,Sickerwassermessstelle 5R,BEAB1ST__-3H15,l/s,HAND,,
BE,Sickerwassermessstelle 6L,BEAB1ST__-3H16,l/s,HAND,,
BE,Sickerwassermessstelle 6R,BEAB1ST__-3H17,l/s,HAND,,
BE,Sickerwassermessstelle 7L,BEAB1ST__-3H18,l/s,HAND,,
LI,Durchfluss GA rechts gesamt,LIAB1GAR_-3F01,m³/s,AUTO_15MIN,,
LI,DU R Drainage Untergrund rechts PLS,LIAB1KO__-3L01,l/s,AUTO,0,0.069
WU,GW1 Grundwasserpegel PLS,WUAB1____-3L01,mNN,AUTO,232,234.5
LI,DU L Drainage Untergrund links PLS,LIAB1KO__-3L02,l/s,AUTO,0,0.0658
LI,Öffnungsgrad Ringkolbenventil links DN 700/900,LIAB1RKVL-2OD1,%,HAND,,
LI,Durchfluss Ringkolbenventil links DN 700/900,LIAB1RKVL-3F01,m³/s,HAND,,
BU,GWM9 Hand,BUAB3____-3H05,m,HAND,,
LI,Öffnungsgrad Ringkolbenventil rechts DN 700/900,LIAB1RKVR-2OD1,%,HAND,,
LI,Durchfluss Ringkolbenventil rechts DN 700/900,LIAB1RKVR-3F01,m³/s,HAND,,
LI,FM links Sickerwasser,LIAB1VOR_-3H01,l/s,HAND,,
LI,FM mitte Sickerwasser,LIAB1VOR_-3H02,l/s,HAND,,
LI,FM rechts Sickerwasser,LIAB1VOR_-3H03,l/s,HAND,,
LI,DU I 7.3 Sickerwasser,LIAB1VOR_-3H04,l/min,HAND,,
LI,DU I 8.1 Sickerwasser,LIAB1VOR_-3H05,l/min,HAND,,
LI,DU I 8.2 Sickerwasser,LIAB1VOR_-3H06,l/min,HAND,,
LI,DU I 8.3 Sickerwasser,LIAB1VOR_-3H07,l/min,HAND,,
LI,DU I 8.4 Sickerwasser,LIAB1VOR_-3H08,l/min,HAND,,
LI,DU I 9.1 Sickerwasser,LIAB1VOR_-3H09,l/min,HAND,,
LI,DU I 9.2 Sickerwasser,LIAB1VOR_-3H10,l/min,HAND,,
BE,Sickerwassermessstelle 7R,BEAB1ST__-3H19,l/s,HAND,,
BE,Sickerwassermessstelle 8L,BEAB1ST__-3H20,l/s,HAND,,
LI,KD 8.4 Sickerwasser,LIAB1VOR_-3H100,l/min,HAND,,
LI,KD 9.1 Sickerwasser,LIAB1VOR_-3H101,l/min,HAND,,
LI,KD 9.2 Sickerwasser,LIAB1VOR_-3H102,l/min,HAND,,
LI,KD 9.3 Sickerwasser,LIAB1VOR_-3H103,l/min,HAND,,
LI,KD 9.4 Sickerwasser,LIAB1VOR_-3H104,l/min,HAND,,
BE,Sickerwassermessstelle 8R,BEAB1ST__-3H21,l/s,HAND,,
LI,KD 10.1 Sickerwasser,LIAB1VOR_-3H105,l/min,HAND,,
LI,KD 10.2 Sickerwasser,LIAB1VOR_-3H106,l/min,HAND,,
LI,KD 10.3 Sickerwasser,LIAB1VOR_-3H107,l/min,HAND,,
LI,KD 10.4 Sickerwasser,LIAB1VOR_-3H108,l/min,HAND,,
LI,KD 11.1 Sickerwasser,LIAB1VOR_-3H109,l/min,HAND,,
LI,DU I 9.3 Sickerwasser,LIAB1VOR_-3H11,l/min,HAND,,
LI,KD 11.2 Sickerwasser,LIAB1VOR_-3H110,l/min,HAND,,
LI,KD 11.3 Sickerwasser,LIAB1VOR_-3H111,l/min,HAND,,
LI,KD 12.2 Sickerwasser,LIAB1VOR_-3H112,l/min,HAND,,
LI,KD 12.3 Sickerwasser,LIAB1VOR_-3H113,l/min,HAND,,
LI,KD 12.4 Sickerwasser,LIAB1VOR_-3H114,l/min,HAND,,
LI,KD 13.2 Sickerwasser,LIAB1VOR_-3H115,l/min,HAND,,
LI,KD 14.1 Sickerwasser,LIAB1VOR_-3H116,l/min,HAND,,
LI,KD 14.2 Sickerwasser,LIAB1VOR_-3H117,l/min,HAND,,
LI,KD 14.3 Sickerwasser,LIAB1VOR_-3H118,l/min,HAND,,
LI,KD 14.4 Sickerwasser,LIAB1VOR_-3H119,l/min,HAND,,
LI,DU I 9.4 Sickerwasser,LIAB1VOR_-3H12,l/min,HAND,,
LI,KD 15.2 Sickerwasser,LIAB1VOR_-3H120,l/min,HAND,,
LI,KD 15.3 Sickerwasser,LIAB1VOR_-3H121,l/min,HAND,,
LI,KD 15.4 Sickerwasser,LIAB1VOR_-3H122,l/min,HAND,,
LI,KD 16.1 Sickerwasser,LIAB1VOR_-3H123,l/min,HAND,,
LI,KD 16.2 Sickerwasser,LIAB1VOR_-3H124,l/min,HAND,,
LI,KD 16.3 Sickerwasser,LIAB1VOR_-3H125,l/min,HAND,,
BE,Sickerwassermessstelle 9L,BEAB1ST__-3H22,l/s,HAND,,
LI,KD 16.4 Sickerwasser,LIAB1VOR_-3H126,l/min,HAND,,
LI,KD 17.1 Sickerwasser,LIAB1VOR_-3H127,l/min,HAND,,
LI,KD 17.2 Sickerwasser,LIAB1VOR_-3H128,l/min,HAND,,
LI,KD 17.3 Sickerwasser,LIAB1VOR_-3H129,l/min,HAND,,
LI,DU I 10.2 Sickerwasser,LIAB1VOR_-3H13,l/min,HAND,,
LI,KD 17.4 Sickerwasser,LIAB1VOR_-3H130,l/min,HAND,,
LI,KD 18.1 Sickerwasser,LIAB1VOR_-3H131,l/min,HAND,,
LI,KD 18.2 Sickerwasser,LIAB1VOR_-3H132,l/min,HAND,,
LI,KD 18.3 Sickerwasser,LIAB1VOR_-3H133,l/min,HAND,,
LI,KD 18.4 Sickerwasser,LIAB1VOR_-3H134,l/min,HAND,,
LI,KD 19.1 Sickerwasser,LIAB1VOR_-3H135,l/min,HAND,,
LI,KD 19.2 Sickerwasser,LIAB1VOR_-3H136,l/min,HAND,,
LI,KD 19.3 Sickerwasser,LIAB1VOR_-3H137,l/min,HAND,,
LI,KD 19.4 Sickerwasser,LIAB1VOR_-3H138,l/min,HAND,,
LI,KD 20.1 Sickerwasser,LIAB1VOR_-3H139,l/min,HAND,,
LI,DU II 10.2 Sickerwasser,LIAB1VOR_-3H14,l/min,HAND,,
LI,KD 20.2 Sickerwasser,LIAB1VOR_-3H140,l/min,HAND,,
LI,KD 20.3 Sickerwasser,LIAB1VOR_-3H141,l/min,HAND,,
LI,KD 20.4 Sickerwasser,LIAB1VOR_-3H142,l/min,HAND,,
LI,DU I 4.1 Sickerwasser,LIAB1VOR_-3H143,l/min,HAND,,
LI,DU I 4.2 Sickerwasser,LIAB1VOR_-3H144,l/min,HAND,,
LI,DU I 4.3 Sickerwasser,LIAB1VOR_-3H145,l/min,HAND,,
LI,DU I 4.4 Sickerwasser,LIAB1VOR_-3H146,l/min,HAND,,
LI,DU I 5.1 Sickerwasser,LIAB1VOR_-3H147,l/min,HAND,,
LI,DU I 5.2 Sickerwasser,LIAB1VOR_-3H148,l/min,HAND,,
LI,DU I 5.3 Sickerwasser,LIAB1VOR_-3H149,l/min,HAND,,
LI,DU I 10.3 Sickerwasser,LIAB1VOR_-3H15,l/min,HAND,,
LI,DU I 5.4 Sickerwasser,LIAB1VOR_-3H150,l/min,HAND,,
LI,DU I 6.1 Sickerwasser,LIAB1VOR_-3H151,l/min,HAND,,
LI,DU I 6.2 Sickerwasser,LIAB1VOR_-3H152,l/min,HAND,,
LI,DU I 6.3 Sickerwasser,LIAB1VOR_-3H153,l/min,HAND,,
LI,DU I 6.4 Sickerwasser,LIAB1VOR_-3H154,l/min,HAND,,
LI,DU I 7.1 Sickerwasser,LIAB1VOR_-3H155,l/min,HAND,,
LI,DU I 7.2 Sickerwasser,LIAB1VOR_-3H156,l/min,HAND,,
LI,DU I 7.4 Sickerwasser,LIAB1VOR_-3H157,l/min,HAND,,
LI,DU II 8.1 Sickerwasser,LIAB1VOR_-3H158,l/min,HAND,,
LI,DU II 8.2 Sickerwasser,LIAB1VOR_-3H159,l/min,HAND,,
LI,DU I 10.4 Sickerwasser,LIAB1VOR_-3H16,l/min,HAND,,
LI,DU II 9.1 Sickerwasser,LIAB1VOR_-3H160,l/min,HAND,,
LI,DU II 9.2 Sickerwasser,LIAB1VOR_-3H161,l/min,HAND,,
LI,DU I 12.4 Sickerwasser,LIAB1VOR_-3H162,l/min,HAND,,
LI,DU I 17.3 Sickerwasser,LIAB1VOR_-3H163,l/min,HAND,,
LI,DU II 18.2 Sickerwasser,LIAB1VOR_-3H164,l/min,HAND,,
LI,DU I 20.1 Sickerwasser,LIAB1VOR_-3H165,l/min,HAND,,
LI,DU I 20.2 Sickerwasser,LIAB1VOR_-3H166,l/min,HAND,,
LI,DU I 20.3 Sickerwasser,LIAB1VOR_-3H167,l/min,HAND,,
WU,GW2 Grundwasserpegel PLS,WUAB1____-3L02,mNN,AUTO,227,233.5
DH,S-H 4 Sickerwassereinzelmessung,DHAB1AD__-3H08,l/min,HAND,0.045,6
PA,Wetter,PA_______-3H01,-,HAND,,
BB,SW1 Piezometer Hand,BBAB1____-3H06,mNN,HAND,6.35,8.33
WU,GW3 Grundwasserpegel PLS,WUAB1____-3L03,mNN,AUTO,228.9,234.5
ES,SD1b Sohlenwasserdruck,ESAB1DS__-3H02,Bar,HAND,0.222,0.343
LI,DU I 20.4 Sickerwasser,LIAB1VOR_-3H168,l/min,HAND,,
RO,DM Re Handmessung,ROAB1KO__-3H11,l/s,HAND,0,0.38
RO,K3/F Kronenbohrung,ROAB1____-3H07,m,HAND,15.3,16.18
WU,GW4 Grundwasserpegel PLS,WUAB1____-3L04,mNN,AUTO,228.25,235
SE,P1n Mauer Handmessung,SEAB1DS__-3H01,mWS,HAND,,
WU,UWL Sickerwasser Unterwasser links PLS,WUAB1AD__-3F01,l/s,AUTO,0,0.02
WU,OWL Sickerwasser Oberwasser links PLS,WUAB1AD__-3F02,l/s,AUTO,0,0.06
PA,Gewitter,PA_______-3H02,-,HAND,,
HT,Stauhöhe PLS,HTSK1____-3L01,m,AUTO,,
PA,Niederschlag,PA_______-3H03,mm,HAND,,
DH,S-H 8 Sickerwassereinzelmessung,DHAB1AD__-3H12,l/min,HAND,0.065,3.3
HT,TH 1 Gesamtdrainagewasser PLS,HTAB1KO__-3F01,l/s,AUTO,,
SE,P1n Fuge Handmessung,SEAB1DS__-3H02,mWS,HAND,,
SE,P1n Fels Handmessung,SEAB1DS__-3H03,mWS,HAND,,
SE,P3n Mauer Handmessung,SEAB1DS__-3H04,mWS,HAND,,
SE,P3n Fuge Handmessung,SEAB1DS__-3H05,mWS,HAND,,
SE,P3n Fels Handmessung,SEAB1DS__-3H06,mWS,HAND,,
SE,P4 Fels Handmessung,SEAB1DS__-3H07,mWS,HAND,,
SE,P4 Fuge Handmessung,SEAB1DS__-3H08,mWS,HAND,,
