BBAB1____-3H24,2014-01-16 00:00:00,7
BBAB1____-3H16,2014-01-17 00:00:00,3
BBAB1____-3H17,2014-01-17 00:00:00,0
BB_______-3H01,2014-01-17 00:00:00,197.01
BB_______-3H02,2014-01-17 00:00:00,0
BBAB1____-3H25,2014-01-17 00:00:00,10
BBAB1____-3H24,2014-01-17 00:00:00,4.5
BBAB1____-3H16,2014-01-18 00:00:00,3
BBAB1____-3H17,2014-01-18 00:00:00,0
BB_______-3H01,2014-01-18 00:00:00,196.94
BB_______-3H02,2014-01-18 00:00:00,0
BBAB1____-3H25,2014-01-18 00:00:00,10.5
BBAB1____-3H24,2014-01-18 00:00:00,4
BBAB1____-3H16,2014-01-19 00:00:00,3
BBAB1____-3H17,2014-01-19 00:00:00,0
BB_______-3H01,2014-01-19 00:00:00,197.02
BB_______-3H02,2014-01-19 00:00:00,0
BBAB1____-3H25,2014-01-19 00:00:00,10
BBAB1____-3H24,2014-01-19 00:00:00,3.5
BBAB1____-3H16,2014-01-20 00:00:00,4
BBAB1____-3H17,2014-01-20 00:00:00,0
BB_______-3H01,2014-01-20 00:00:00,196.91
BB_______-3H02,2014-01-20 00:00:00,0.2
BBAB1____-3H25,2014-01-20 00:00:00,6
BBAB1____-3H24,2014-01-20 00:00:00,3
BBAB1____-3H16,2014-01-21 00:00:00,6
BBAB1____-3H17,2014-01-21 00:00:00,0
BB_______-3H01,2014-01-21 00:00:00,197.06
BB_______-3H02,2014-01-21 00:00:00,0.6
BBAB1____-3H25,2014-01-21 00:00:00,6
BBAB1____-3H24,2014-01-21 00:00:00,4.5
BBAB1____-3H16,2014-09-01 00:00:00,3
BBAB1____-3H17,2014-09-01 00:00:00,0
BB_______-3H01,2014-09-01 00:00:00,197.03
BB_______-3H02,2014-09-01 00:00:00,0
BBAB1____-3H25,2014-09-01 00:00:00,20
BBAB1____-3H24,2014-09-01 00:00:00,11
BBAB1____-3H16,2014-09-02 00:00:00,3
BBAB1____-3H17,2014-09-02 00:00:00,0
BB_______-3H01,2014-09-02 00:00:00,196.97
BBAB1____-3H02,2014-09-23 00:00:00,2.18
BBAB1____-3H05,2014-09-23 00:00:00,3.54
BBAB1____-3H22,2014-09-23 00:00:00,4.65
BBAB1____-3H12,2014-09-23 00:00:00,0.0047
BBAB1____-3H10,2014-09-23 00:00:00,-0.0159
BBAB1____-3H11,2014-09-23 00:00:00,1.71
BBAB1____-3H15,2014-09-23 00:00:00,0.0054
BBAB1____-3H13,2014-09-23 00:00:00,0.0053
BBAB1____-3H14,2014-09-23 00:00:00,1.46
BBAB1____-3H16,2014-10-18 00:00:00,2
BBAB1____-3H17,2014-10-18 00:00:00,0
